Title,Date
"면세점, 면세점, 핼렌카민스키, 에타랑, 발랑스",2023.11.
"플리스, 후디, 샀어요",2023.11.
"고민하다, 결국, 질렀어요, 프라다, 스크런치",2023.11.
"카하라, 기은세, 가방, 따라샀어요",2023.11.
"시땡CGP, 호랑이, 동전, 지갑, 사써욥",2023.11.
"아디다스, 공홈, 삼바, 베이지색, 샀어용",2023.11.
"키코, 캐리어, 인치, 샀어요",2023.11.
"노스페이스, 노벨티, 눕시, 핑크, 샀어요",2023.11.
"아까, 무신사, 메달리스트, 고트스킨, 샀어요",2023.11.
"노비스, 이브스, 헤리티, 파카, 샀어요",2023.11.
"플리스, 점퍼, 샀어요",2023.11.
"메종키츠네, 티셔츠",2023.11.
"무신사, 토템, 크롭, 테이퍼드, 데님, 샀어요",2023.11.
어그샀어요,2023.11.
"w, 마랑, 만셀, 샀오요",2023.11.
"아디다스, 컨트리, OG, 그린, 샀어요",2023.11.
"또또, 후드티",2023.11.
"오트리, 샀어요지금아님",2023.11.
"오트리, 메달리스트, 고트스킨",2023.11.
"롯, 쇼핑했어유, 돈, 그만쓰는법좀, 알려주실분",2023.11.
"오트리, 메달리스트, 화이트샀어요",2023.11.
오트,2023.11.
후드티,2023.11.
"오트리, 샀어유",2023.11.
"예전에, 리복, 푸퍼, 샀었어요",2023.11.
"반스, 에라, 레오파드, 화이트, 샀어요",2023.11.
"면세점, 젤리캣, 키링, 베이지",2023.11.
"스왈로브스키, 목걸이, 구매했어요은혜, 기록용",2023.11.
"스타벅스, 크리스마스, 테이블웨어, 종, 샀어요",2023.11.
"메종키츠네, 가디건, xs",2023.11.
"스타벅스, 크리스마스, 젤라또, 파티팩, 샀어요",2023.11.
"오트리, 고트스킨, 샀어요",2023.11.
꾸매햇어욤,2023.11.
오트리,2023.11.
"오트리, 샀어요",2023.11.
"오트리, 고트, 스킨, 따사했어요",2023.11.
"오트리, 고트스킨, 샀어요",2023.11.
"오트리, 고트스킨, 따사했어요",2023.11.
"스벅, 젤라또, 파티이",2023.11.
"이정도면, 오트리, 사도, 되는거, 맞잖아요",2023.11.
"오트리, 고트스킨, 샀어요",2023.11.
"오트리, 샀어요",2023.11.
"저도, 오트리, 삿어요",2023.11.
"오트리, 고트스킨, 구매",2023.11.
"오트리, 샀어오",2023.11.
"오트리, 레더, 샀어요",2023.11.
"코스, 테이퍼드진, 샀어요",2023.11.
"오트리, 메달리스트, 고트스킨, 만원에, 샀어요",2023.11.
"나이키, 블프, 샀어요",2023.11.
"이자벨마랑, 오늘, 샀어요",2023.11.
"핑크, 눕시, 구매",2023.11.
"오트리, 샀어요",2023.11.
"톰보이, 무스탕",2023.11.
"스타벅스, 크리스마스, 리스, 키체인, 샀오요",2023.11.
"딜공님, 따라, 크리스마스, 젤라또, 파티백, 뽀너스, 보냉백",2023.11.
"스타벅스, 크리스마스버블, 리스키체인",2023.11.
"헬렌카민스키, 에타",2023.11.
"무신사, 잔스포츠, 하프파인트, 블랙, 미스티, 로즈, 오늘, 샀어요",2023.11.
"잔스포츠, 하프파인트",2023.11.
"자크뮈스, 르밥, 아티초크, 버킷햇, 이제, 샀네요",2023.11.
"스톤, 크링클랩스",2023.11.
"스타벅스, 크리스마스젤라또파티백",2023.11.
"르라보샀숴여, 향, 궁금해서, 샘플도, 주문완료",2023.11.
젤리캣,2023.11.
메종키츠네,2023.11.
"에서, 어그, 장만했어요좀지난",2023.11.
"스타벅스, 키링",2023.11.
"메포, 파우더, 삿어요",2023.11.
"스벅, 키링들, 구매해서, 보내고, 제, 것도, 샀어요",2023.11.
"벤시몽, 장갑, 따라, 샀어요",2023.11.
"취소해버렸어요, 펑",2023.11.
"잔스포츠, 또, 사부렀어요",2023.11.
"스타벅스, 곰돌이, 들였어요",2023.11.
"하프파이프, 샀어요",2023.11.
"베어파우, 키링, 샀어용",2023.11.
"벅스, 곰도리, 입양해쒀요오",2023.11.
"젤리캣, 칭구, 베어리스타, 데려왔어용",2023.11.
"하프파인트, 샀어요",2023.11.
"하프파인트, 샀어요",2023.11.
"스타벅스, 크리스마스, 테이블웨어, 샀어요",2023.11.
"오늘은, 젤리캣, 들이는, 날, 신라면세, 네이버",2023.11.
"어그, 클래식, 숏II",2023.11.
"이미스, 모자",2023.11.
"잔스포츠, 드디어, 샀어요",2023.11.
"선발매, 노페, 눕시, 핑크, 황금사이즈s, 샀어요",2023.11.
"이자벨마랑, 카린, 가디건, 샀어요",2023.11.
"스벅, 천사곰, 키링, 샀어요",2023.11.
"벤시몽, 뒤늦게, 탑승했어요",2023.11.
"잔스포츠, 하프파인트, 샀어요",2023.11.
"젤리캣, 샀어요",2023.11.
"어제샀어요, 반스",2023.11.
하프파인트,2023.11.
"젤리캣, 키링, 튤립이, 삿어요",2023.11.
"젤리캣, 키링, 베이지, 샀어요",2023.11.
"노페앱, 눕시, 반사핑크, 오픈런",2023.11.
"스벅, 키체인들",2023.11.
"알렉산더, 맥퀸, 글리터리, 오버",2023.11.
"아미, 셔츠, 샀어요",2023.11.
"벤시몽, 장갑, 샀어요",2023.11.
"오샀아닌, 어제, 샀어요",2023.11.
"아미후드티, 샀어요",2023.11.
"사봉, 향수, 털이",2023.11.
"그저께, 산, 타미힐피거, 버킷햇",2023.11.
"코스, 코쿤, 울, 브이넥, 가디건, 핑크",2023.11.
"강아지, 장난감, 샀어요",2023.11.
"국코스, 알파카, 가디건, 따라, 샀어요",2023.11.
"어그, 타즈, 샌드, 구매했어요",2023.11.
"마지셔우드, 지갑, 샀어요",2023.11.
"리버시블, 무스탕, 샀어요",2023.11.
"코스, 가디건, 샀어요",2023.11.
"탑텐, 룰렛, 나와서, 사쏘용",2023.11.
"코스, 퀼티드, 미니",2023.11.
"아식스, 조그, s, 샀어요, 오전",2023.11.
"구찌, 립, 샀어요",2023.11.
"벼룩오샀, 타미, 롱패딩, 벼룩으로, 샀어요",2023.11.
"더현대, 서울에서, 곰인형키링, 샀어요",2023.11.
탱글백,2023.11.
"에스쁘아, 그로브, 에디션, 헤어핀",2023.11.
"뒤늦은, 오트리, 탑승, 메달리스트, 스니커즈, 샀어요",2023.11.
"에서, 나이키, 국가대표, 패딩",2023.11.
"무신사, 에스쁘아, 쿠션그로브, 롤백, 오샀",2023.11.
